2NE1	Q171885
Fahd of Saudi Arabia	Q183187
Daniel Gabriel Fahrenheit	Q57073
Douglas Fairbanks	Q104127
Shepard Fairey	Q1332698
John Fairfax	Q4570933
Thomas Fairfax	Q550612
Fairport Convention	Q1145652
Fairuz	Q3247658
Faisal I	Q212486
Faisal II	Q149724
Faisal of Saudi Arabia	Q217167
Percy Faith	Q712683
Faker (gamer)	Q15618298
Juan Crisóstomo Falcón	Q887139
Giovanni Falcone	Q207073
Nick Faldo	Q531520
Peter Falk	Q484881
Fall Out Boy	Q485811
Manuel de Falla	Q193283
Oriana Fallaci	Q153700
Jimmy Fallon	Q335680
Gabriele Falloppio	Q177869
Jerry Falwell	Q313896
Eugene Fama	Q359317
The Famous Five (Canada)	Q648361
Fan Kuan	Q1278559
Fan Bingbing	Q381074
Shawn Fanning	Q92633
Nigel Farage	Q318471
Edward Faragher	Q15068605
Mo Farah	Q1671
Nuruddin Farah	Q323344
Wallace Fard Muhammad	Q581139
Mohammad Ali Fardin	Q1370293
William Fargo	Q323682
Asghar Farhadi	Q334242
Farinelli	Q223744
Chris Farley	Q311752
Frances Farmer	Q235103
Mylène Farmer	Q185002
Paul Farmer	Q2263705
Farouk of Egypt	Q213001
David Farragut	Q315607
Louis Farrakhan	Q49075
Geraldine Farrar	Q241498
Colin Farrell	Q172035
J. G. Farrell	Q542763
Mike Farrell	Q55994
Suzanne Farrell	Q452198
William Farrer	Q1458972
Forugh Farrokhzad	Q464394
Mia Farrow	Q202725
Ronan Farrow	Q7365461
Michael Fassbender	Q57147
Rainer Werner Fassbinder	Q44426
Brenda Fassie	Q186840
Fatima bint Musa	Q445398
Pierre Fauchard	Q1376711
Anthony Fauci	Q573246
Henry Faulds	Q1440128
Sebastian Faulks	Q443055
Félix Faure	Q296076
Jessie R. Fauset	Q465624
Drew Gilpin Faust	Q49128
Faustin Soulouque	Q560853
Carlo Favetti	Q5041504
Brett Favre	Q267088
Farrah Fawcett	Q102341
Percy Fawcett	Q370705
Philippa Fawcett	Q450366
Guy Fawkes	Q13898
Faxian	Q312978
Frank Fay (comedian)	Q3082612
Mohamed Al-Fayed	Q365913
Madame de La Fayette	Q237090
Henri Fayol	Q213820
Leonard Feather	Q1382271
Lucien Febvre	Q156999
Gustav Fechner	Q76881
Sverre Fehn	Q242002
Fei Mu	Q705561
Fei Xiaotong	Q982656
Yue Fei	Q334398
Kevin Feige	Q515161
Morton Feldman	Q316427
Miguel Ángel Félix Gallardo	Q1621643
Allyson Felix	Q5799
María Félix	Q465189
Rachel Félix	Q267985
Mark Felt	Q348122
Leo Fender	Q297469
Feng Guozhang	Q700576
Feng Youlan	Q557220
Feodor I of Russia	Q186321
Feodor III of Russia	Q184868
Rigas Feraios	Q319684
Edna Ferber	Q283496
Ferdinand I of León	Q296863
Ferdinand I of the Two Sicilies	Q312325
Ferdinand II, Holy Roman Emperor	Q150599
Ferdinand III, Holy Roman Emperor	Q150575
Ferdinand VI	Q193157
Ferdinand VII	Q186256
Ben Ferencz	Q470363
Adam Ferguson	Q183094
Alex Ferguson	Q44980
Niall Ferguson	Q377638
Robert Fergusson	Q981990
Fernando Fernán Gómez	Q318736
Fernandel	Q129092
Pedro Fernandes de Queirós	Q313633
João Fernandes Lavrador	Q3052766
Gonzalo Fernández de Córdoba	Q318699
Cristina Fernández de Kirchner	Q40649
Lisa Fernandez	Q2729085
Vicente Fernández	Q119069
Brian Ferneyhough	Q462291
Elena Ferrante	Q368127
Manuel Ferrara	Q715159
Will Ferrell	Q218503
Francisco Ferrer	Q354202
José Ferrer	Q312098
Michele Ferrero	Q251751
Alessandra Ferri	Q269911
Johan Ferrier	Q333129
Lou Ferrigno	Q313306
George Washington Gale Ferris Jr.	Q925160
Jules Ferry	Q959708
Albert Fert	Q153219
Reginald Fessenden	Q334347
Afanasy Fet	Q314212
François-Joseph Fétis	Q523581
Viacheslav Fetisov	Q553302
Ludwig Feuerbach	Q76422
Louis Feuillade	Q951835
Tina Fey	Q14540
Georges Feydeau	Q49465
Paul Feyerabend	Q78497
Marsilio Ficino	Q192374
Robert Fico	Q57606
David Dudley Field II	Q352906
Marshall Field	Q1902746
Sally Field	Q187033
Helen Fielding	Q232359
Henry Fielding	Q34190
Gracie Fields	Q463275
W. C. Fields	Q352971
Ranulph Fiennes	Q1331624
Guy Fieri	Q12057690
Luís Figo	Q483145
José Figueres Ferrer	Q311126
Elías Figueroa	Q310981
Patriarch Filaret of Moscow	Q547759
Philaret Drozdov	Q129641
Pedro Rodrigues Filho	Q1999429
Filip Filipović (water polo)	Q1274732
Charles Fillmore (Unity Church)	Q3666394
Millard Fillmore	Q12306
Jennie Finch	Q2406028
Peter Finch	Q294454
Stanley Finch	Q983271
David Fincher	Q184903
Oronce Fine	Q983291
Bill Finger	Q464282
Norman Finkelstein	Q160163
Albert Finney	Q219546
Charles Grandison Finney	Q532375
Carly Fiorina	Q256380
Harvey S. Firestone	Q2985287
Shulamith Firestone	Q271551
Colin Firth	Q162492
Markiplier	Q16729001
Johann Bernhard Fischer von Erlach	Q84305
Birgit Fischer	Q2151006
Ernst Otto Fischer	Q44594
George R. Fischer	Q5543626
Helene Fischer	Q236549
Emil Fischer	Q70554
Albert Fish	Q507748
Hamilton Fish	Q685992
Andrew Fisher	Q314016
Carrie Fisher	Q108941
Irving Fisher	Q312739
M. F. K. Fisher	Q272889
Mark Fisher	Q20740852
James Fisk (financier)	Q323705
Robert Fisk	Q310900
John Fiske (philosopher)	Q3140992
Val Logsdon Fitch	Q206499
Barry Fitzgerald	Q290666
Edward FitzGerald (poet)	Q532457
Penelope Fitzgerald	Q267748
George Fitzhugh	Q5539301
Robert FitzRoy	Q213756
Bob Fitzsimmons	Q472506
James Montgomery Flagg	Q537266
Henry Flagler	Q746530
Kirsten Flagstad	Q234380
Robert J. Flaherty	Q263148
Ric Flair	Q44546
John Flamsteed	Q242388
Richard Flanagan	Q1351191
Michael Flatley	Q316685
Fleetwood Mac	Q106648
Heidi Fleiss	Q271732
Ian Fleming	Q82104
Peggy Fleming	Q236546
Renée Fleming	Q165637
Victor Fleming	Q62503
Williamina Fleming	Q284180
John Fletcher (playwright)	Q312444
Louise Fletcher	Q182372
Antony Flew	Q451451
Abraham Flexner	Q210100
Matthew Flinders	Q219895
Catherine Flon	Q4948340
Roger de Flor	Q436817
Pavel Florensky	Q336769
Juan José Flores	Q554933
Lola Flores	Q242084
Howard Florey	Q137106
Paul Flory	Q176351
Gaston Flosse	Q2747180
Tommy Flowers	Q954437
Vilém Flusser	Q215623
The Flying Wallendas	Q7734631
Errol Flynn	Q93188
John Flynn (minister)	Q323080
William J. Flynn	Q2920862
Larry Flynt	Q223839
Dario Fo	Q765
Ferdinand Foch	Q192615
Jerry Fodor	Q319186
Robert Fogel	Q237821
Michel Fokine	Q314312
Ken Follett	Q210669
Anatoly Fomenko	Q158465
Henry Fonda	Q19155
Jane Fonda	Q41142
Eric Foner	Q3056269
Deodoro da Fonseca	Q200812
Lisa Fonssagrives	Q256388
Joan Fontaine	Q95076
Just Fontaine	Q192749
Domenico Fontana	Q336806
Lavinia Fontana	Q236050
Theodor Fontane	Q76632
Lynn Fontanne	Q242484
Margot Fonteyn	Q231776
Denis Fonvizin	Q315885
Foo Fighters	Q483718
Ching Ling Foo	Q727734
June Foray	Q241646
B. C. Forbes	Q718435
Peter Force	Q7174033
Tennessee Ernie Ford	Q963827
Ford Madox Ford	Q537112
Gerald Ford	Q9582
Glenn Ford	Q212048
Harrison Ford	Q81328
John Ford (dramatist)	Q503798
Tom Ford	Q318149
George Foreman	Q213919
Johann Nikolaus Forkel	Q57922
Miloš Forman	Q51525
George Formby Sr	Q5539359
George Formby	Q181816
Andrew Forrest	Q504773
Edwin Forrest	Q1294570
Nathan Bedford Forrest	Q366102
Jay Wright Forrester	Q92763
E. M. Forster	Q189119
Bruce Forsyth	Q1245136
Paul Fort	Q561724
Timothy Thomas Fortune	Q7807563
Dick Fosbury	Q310989
Ugo Foscolo	Q166234
Steve Fossett	Q311786
Dian Fossey	Q234224
David Foster	Q77112
Jodie Foster	Q41351
Norman Foster	Q104898
Joseph Fouché	Q216958
Jean Fouquet	Q311398
Charles Fourier	Q181707
William Alfred Fowler	Q46120
Charles James Fox	Q438131
George Fox	Q310439
Matthew Fox	Q185554
Michael J. Fox	Q395274
Terry Fox	Q295053
Vicente Fox	Q190572
William Fox (producer)	Q134382
Jeff Foxworthy	Q2449557
Jamie Foxx	Q171905
Jimmie Foxx	Q1329352
Redd Foxx	Q712024
A. J. Foyt	Q173228
Mikhail Fradkov	Q150080
Eduard Fraenkel	Q215621
Jean-Honoré Fragonard	Q127171
Augusto Tasso Fragoso	Q641113
Janet Frame	Q241215
Anatole France	Q42443
Bill France Sr.	Q726049
Marie de France	Q5617
Francis de Sales	Q231256
Francis I, Holy Roman Emperor	Q151075
Dick Francis	Q314929
Kay Francis	Q268110
Pope Francis	Q450675
Don Francisco (television host)	Q1757508
César Franck	Q50187
James Franck	Q57066
Franco of Cologne	Q1383390
Itamar Franco	Q485946
Claude François	Q365985
Hans Frank	Q60087
Ilya Frank	Q192703
Jacob Frank	Q708525
Leo Frank	Q130973
Robert Frank	Q467574
Al Franken	Q319084
Helen Frankenthaler	Q235281
Viktor Frankl	Q154723
John Franklin	Q2655
John Hope Franklin	Q1367397
Miles Franklin	Q984
Ivan Franko	Q332462
Archduke Franz Ferdinand of Austria	Q43063
Marie-Louise von Franz	Q60236
Jonathan Franzen	Q316607
Dawn Fraser	Q229040
Malcolm Fraser	Q315979
Peter Fraser	Q1400226
Shelly-Ann Fraser-Pryce	Q5793
Annie Fratellini	Q2851658
Joseph von Fraunhofer	Q43948
James George Frazer	Q151936
E. Franklin Frazier	Q1273492
Joe Frazier	Q102301
Frederick III, Holy Roman Emperor	Q150966
Frederick William III of Prussia	Q37134
Frederick William IV	Q57180
Frederick William, the Great Elector	Q152727
Alan Freed	Q453956
Cathy Freeman	Q234762
Douglas Southall Freeman	Q451929
Morgan Freeman	Q48337
Eduardo Frei Montalva	Q475
Eduardo Frei Ruiz-Tagle	Q326
Paulo Freire	Q164797
Ramón Freire	Q1332
Roland Freisler	Q57601
John C. Frémont	Q169011
Girolamo Frescobaldi	Q209212
Peter Freuchen	Q945641
Lucian Freud	Q154594
Henry Clay Frick	Q93709
Brenda Fricker	Q230214
Egon Friedell	Q112255
William Friedkin	Q51582
Debbie Friedman	Q2895942
George Friedman	Q928281
Jerome Isaac Friedman	Q187822
Mikhail Fridman	Q732142
Stanton T. Friedman	Q1262589
Karl von Frisch	Q60060
Ragnar Frisch	Q187988
Friedrich Fröbel	Q76679
Johann Jakob Froberger	Q60724
Martin Frobisher	Q80288
Erich Fromm	Q57085
Arturo Frondizi	Q346658
Chris Froome	Q319591
David Frost	Q380865
James Anthony Froude	Q1679958
Mikhail Frunze	Q191882
Adrian Frutiger	Q123621
Christopher Fry	Q543468
Elizabeth Fry	Q271477
Roger Fry	Q547470
Stephen Fry	Q192912
Northrop Frye	Q354256
Fu Jian (337–385)	Q967998
Xu Fu	Q700302
Mitsuo Fuchida	Q116351
Vivian Fuchs	Q456696
Amalia Fuentes	Q4739395
Athol Fugard	Q601307
Fugazi	Q277865
Alberto Fujimori	Q133040
Fujiwara no Shunzei	Q934255
Fujiwara no Teika	Q378425
Ichirō Fujiyama	Q3138085
Kinji Fukasaku	Q470779
Masanobu Fukuoka	Q334997
Francis Fukuyama	Q186123
Fukuzawa Yukichi	Q355447
J. F. C. Fuller	Q548803
Loie Fuller	Q180505
Margaret Fuller	Q257953
Samuel Fuller	Q262479
Simon Fuller	Q367691
Gichin Funakoshi	Q41105
Mauricio Funes	Q57342
Joseph Furphy	Q327500
Wilhelm Furtwängler	Q57285
Numa Denis Fustel de Coulanges	Q462597
Futabayama Sadaji	Q323602
Nikolai Fyodorov (philosopher)	Q463723
Vladimir Grigoryevich Fyodorov	Q2992341
Kenny G	Q295777
Diana Gabaldon	Q272492
Jean Gabin	Q23842
Dan Gable	Q238551
Naum Gabo	Q309482
Dennis Gabor	Q155786
Zsa Zsa Gabor	Q207405
Juan Gabriel	Q738404
Peter Gabriel	Q175195
Giovanni Gabrieli	Q34624
Gackt	Q44606
John Wayne Gacy	Q298252
Hans-Georg Gadamer	Q76356
William Gaddis	Q456958
Antonio Gades	Q561048
Phineas Gage	Q316742
Robert M. Gagné	Q981921
Verne Gagne	Q950279
Leonid Gaidai	Q312480
Neil Gaiman	Q210059
William Gaines	Q323066
Thomas Gainsborough	Q192720
Joanne Gair	Q6206123
Eric Gairy	Q203046
Gaius (jurist)	Q313439
Luis Carlos Galán	Q3046401
Biruté Galdikas	Q242680
Eduardo Galeano	Q44575
Ron Galella	Q331364
Vincenzo Galilei	Q313765
France Gall	Q208258
Franz Joseph Gall	Q57511
James Gall	Q4132672
Sandy Gall	Q7417254
Gallagher (comedian)	Q5518822
Adolf Galland	Q57166
Antoine Galland	Q319399
Albert Gallatin	Q500046
Thomas Hopkins Gallaudet	Q712484
Johann Gottfried Galle	Q76431
Luigi Galleani	Q529189
Akseli Gallen-Kallela	Q170068
Joseph Gallieni	Q17577
Gallienus	Q104475
Robert Gallo	Q469904
George Gallup	Q315542
Quintus Roscius Gallus	Q1077925
John Galsworthy	Q82248
Bernardo de Gálvez	Q386687
Luís Gama	Q6706790
Agustín Gamarra	Q379638
Carlo Gambino	Q452127
Paul Castellano	Q304489
James Gamble (industrialist)	Q556367
Michael Gambon	Q203545
Manuel Gamio	Q2602445
Songtsen Gampo	Q320122
Gampopa	Q453191
Rasul Gamzatov	Q36878
Abel Gance	Q313572
Oumarou Ganda	Q128704
Vice Ganda	Q7925032
Rajiv Gandhi	Q4593
Sonia Gandhi	Q163225
James Gandolfini	Q308722
David Gandy	Q3703185
Gang of Four	Q196341
Baba Farid	Q3244622
Bruno Ganz	Q123206
Godfrey Gao	Q5576440
Gao Ling	Q236336
Gao Ming	Q2716779
Gao Xingjian	Q18143
Emperor Gaozong of Tang	Q9703
Luis Garavito	Q548992
Arne Garborg	Q467497
Hulda Garborg	Q3143008
Luis García Berlanga	Q381234
Antonio García Gutiérrez	Q602137
Mario García Menocal	Q878826
Gabriel García Moreno	Q434730
Alan García	Q167211
Charly García	Q467940
Eddie Garcia	Q2406250
Inca Garcilaso de la Vega	Q334711
Carlos Gardel	Q229613
John Eliot Gardiner	Q160325
Samuel Rawson Gardiner	Q1770846
Ava Gardner	Q164487
Erle Stanley Gardner	Q357065
Gerald Gardner	Q350708
Howard Gardner	Q176515
Isabella Stewart Gardner	Q467669
Martin Gardner	Q677706
Géza Gárdonyi	Q221903
John Garfield	Q367053
Richard Garfield	Q459719
Harold Garfinkel	Q461121
Maurice Garin	Q273842
Germán Garmendia	Q16890578
Helen Garner	Q4949556
James Garner	Q108510
Joel Garner	Q3351716
John Nance Garner	Q298991
Kevin Garnett	Q189240
Charles Garnier (architect)	Q313556
Mary Garrard	Q19546794
Emílio Garrastazu Médici	Q299165
Pat Garrett	Q450746
David Garrick	Q222390
Garrincha	Q180642
William Lloyd Garrison	Q360155
Roland Garros (aviator)	Q207709
Greer Garson	Q182486
Elizabeth Gaskell	Q229226
Pau Gasol	Q193052
Vittorio Gassman	Q55452
Daryl Gates	Q4356165
Henry Louis Gates Jr.	Q561458
Melinda French Gates	Q463877
Richard Jordan Gatling	Q335573
Anthony Gatto	Q508002
Théophile Gautier	Q183713
Sunil Gavaskar	Q558182
César Gaviria	Q332020
Costa-Gavras	Q296698
John Gay	Q321660
Roxane Gay	Q16202911
Chris Gayle	Q2732196
Janet Gaynor	Q182462
Mitzi Gaynor	Q255794
Maumoon Abdul Gayoom	Q297957
Gaito Gazdanov	Q706654
Laurent Gbagbo	Q179242
Leymah Gbowee	Q107037
Timnit Gebru	Q59753117
Patrick Geddes	Q381848
David Geffen	Q115055
Fabre Geffrard	Q546872
Lou Gehrig	Q357444
Hans Geiger	Q57189
Archibald Geikie	Q633167
Andre Geim	Q104104
Ed Gein	Q309643
Ernesto Geisel	Q294241
Henry Geldzahler	Q1152592
Sarah Michelle Gellar	Q180665
Uri Geller	Q44657
Ernest Gellner	Q170078
Gelon	Q468608
Bachir Gemayel	Q315534
Richard Genée	Q694654
Genesis (band)	Q151012
Jean Genet	Q184622
Genie (feral child)	Q237068
Pierre-Gilles de Gennes	Q187224
Vito Genovese	Q537498
Giovanni Gentile	Q312295
Alberico Gentili	Q1445910
Paolo Gentiloni	Q1071031
Reinhard Genzel	Q65807
Geoffrey of Monmouth	Q188344
Étienne Geoffroy Saint-Hilaire	Q192428
George I of Great Britain	Q130805
George I of Greece	Q17142
George II of Great Britain	Q131981
George II of Greece	Q152935
George IV	Q130586
George V	Q269412
George VI	Q280856
Henry George	Q355245
Nicholas Georgescu-Roegen	Q1351160
Balthasar Gérard	Q537169
Valery Gerasimov	Q36073
Théodore Géricault	Q184212
Sophie Germain	Q7103
Jean-Léon Gérôme	Q212499
Geronimo	Q2791
Sarah Geronimo	Q2333745
Ira Gershwin	Q61059
Lou Gerstner	Q1363852
Ricky Gervais	Q23517
Conrad Gessner	Q60116
Carlo Gesualdo	Q192958
Alexander Gettler	Q4718946
J. Paul Getty	Q318591
Stan Getz	Q30587
Tamara Geva	Q7680787
Pieter Geyl	Q559235
Deniz Gezmiş	Q982419
Abd al-Rahman ibn Abd Allah al-Ghafiqi	Q220228
Qul Ghali	Q1253537
Ashraf Ghani	Q172388
Ritwik Ghatak	Q55404
Ghazi of Iraq	Q314784
Andrea M. Ghez	Q493956
Lorenzo Ghiberti	Q208125
Domenico Ghirlandaio	Q191423
Antonio Ghislanzoni	Q524960
Shreya Ghoshal	Q2050788
Riccardo Giacconi	Q186481
Giuseppe Giacosa	Q372032
Ivar Giaever	Q192688
Giambologna	Q220136
Sam Giancana	Q945576
Amadeo Giannini	Q2637693
Cedric Gibbons	Q727904
Orlando Gibbons	Q311913
Althea Gibson	Q53550
Bob Gibson	Q1131535
Charles Dana Gibson	Q151165
Helen Gibson	Q3129612
Josh Gibson	Q1040584
Mel Gibson	Q42229
Orville Gibson	Q983557
William Gibson	Q188987
Takemoto Gidayū	Q2389434
Anthony Giddens	Q220008
André Gide	Q47484
Vincent Gigante	Q939062
H. R. Giger	Q312640
Ryan Giggs	Q10524
Beniamino Gigli	Q159473
Gilberto Gil	Q221479
Abdul Qadir Gilani	Q307365
Humphrey Gilbert	Q447200
John Gilbert (actor)	Q503956
W. S. Gilbert	Q348513
João Gilberto	Q192359
Adam Gilchrist	Q349516
Emil Gilels	Q319732
Herbert Giles	Q713705
Gilgamesh	Q159709
Eric Gill	Q551426
Julia Gillard	Q41563
Francis James Gillen	Q1441570
Dizzy Gillespie	Q49575
King C. Gillette	Q314000
Terry Gilliam	Q25078
Harold Gillies	Q3514837
Carol Gilligan	Q284025
Vince Gilligan	Q4500
Gloria Ford Gilmer	Q16902130
Mary Gilmore	Q455761
Marija Gimbutas	Q221084
Susana Giménez	Q5273120
Newt Gingrich	Q182788
Manu Ginóbili	Q213132
Allen Ginsberg	Q6711
Ruth Bader Ginsburg	Q11116
Carlo Ginzburg	Q355251
Vitaly Ginzburg	Q104668
Giorgione	Q8459
Zinaida Gippius	Q61940
René Girard	Q129228
Stephen Girard	Q331227
Annie Girardot	Q106443
Jean Giraud	Q309240
Jean Giraudoux	Q309974
Igor Girkin	Q16474356
Girls' Generation	Q20153
Valéry Giscard d'Estaing	Q2124
Barbara Gittings	Q468860
Giorgetto Giugiaro	Q316565
Carlo Maria Giulini	Q430829
Hubert de Givenchy	Q167318
Karl Adolph Gjellerup	Q131487
Malcolm Gladwell	Q318429
Milton Glaser	Q1351481
Sheldon Glashow	Q107420
Hugh Glass	Q4139550
Ira Glass	Q1672322
Roy J. Glauber	Q64188
Alexander Glazunov	Q25872
Jackie Gleason	Q454200
Jean Berko Gleason	Q3350253
Ralph J. Gleason	Q254804
John Glenn	Q182642
Evelyn Glennie	Q239275
Mikhail Glinka	Q181885
Édouard Glissant	Q274319
Odilo Globocnik	Q84441
Donald Glover	Q1239933
Savion Glover	Q360244
Thomas Blake Glover	Q667495
Christoph Willibald Gluck	Q130759
Louise Glück	Q2344210
Dmitry Glukhovsky	Q283408
Faure Gnassingbé	Q4414
Rudolf von Gneist	Q63035
Emperor Go-Daigo	Q313942
Go Seigen	Q541005
Tito Gobbi	Q363254
Arthur de Gobineau	Q264918
Jacques Goddet	Q561358
Arthur Godfrey	Q709509
Lady Godiva	Q106077
Giba	Q455738
Nathuram Godse	Q312553
Boris Godunov	Q170172
William Godwin	Q188569
Maria Goeppert Mayer	Q57100
George Washington Goethals	Q741605
Erving Goffman	Q314471
Goh Chok Tong	Q313300
Gojong of Korea	Q257425
Ziya Gökalp	Q83275
Sabiha Gökçen	Q459104
Eyal Golan	Q1382405
Bill Gold	Q4909170
Jonathan Gold	Q6273216
Whoopi Goldberg	Q49001
Sonya Golden Hand	Q4088447
Nan Goldin	Q234279
Marcus Goldman	Q214085
William Goldman	Q506885
Carlo Goldoni	Q165534
Victor Goldschmidt	Q213668
James Goldsmith	Q3090082
Jerry Goldsmith	Q235077
Oliver Goldsmith	Q236236
Al Goldstein	Q4141395
Baruch Goldstein	Q380435
Rebecca Goldstein	Q766723
Vida Goldstein	Q7927635
Barry Goldwater	Q319129
Camillo Golgi	Q150630
Ronald Golias	Q44407
Anne Golon	Q263213
Alexander Gomelsky	Q505418
Valentín Gómez Farías	Q358534
José Miguel Gómez	Q554259
Juan Vicente Gómez	Q317990
Selena Gomez	Q83287
Junpei Gomikawa	Q1536860
Samuel Gompers	Q282657
Ivan Goncharov	Q189665
Natalia Goncharova	Q232391
Edmond de Goncourt	Q1249210
Jules de Goncourt	Q1234248
Gong Li	Q150903
Gongsun Long	Q1362266
Aloysius Gonzaga	Q310307
Chiquinha Gonzaga	Q465902
Luiz Gonzaga	Q982314
Pancho Gonzales	Q53554
Alejandro González Iñárritu	Q55215
Edith González	Q264783
Felipe González	Q156799
David Goodall (botanist)	Q5240703
John B. Goodenough	Q906529
Cuba Gooding Jr.	Q136209
Benny Goodman	Q46755
Paul Goodman	Q943567
Delta Goodrem	Q228818
Googoosh	Q255233
Evonne Goolagong Cawley	Q228559
Leslie Goonewardene	Q16010366
Narayan Gopal	Q425728
Ram Gopal (dancer)	Q7288471
William Gopallawa	Q205993
Gorakhnath	Q983584
Adam Lindsay Gordon	Q350313
Charles George Gordon	Q310035
Dexter Gordon	Q118116
Jeff Gordon	Q313565
Richard F. Gordon Jr.	Q502963
Ruth Gordon	Q232562
Berry Gordy	Q355288
Al Gore	Q19673
Henryk Górecki	Q294568
Gorgeous George	Q2414917
Gorgias	Q179785
Gorgo, Queen of Sparta	Q236557
Gorillaz	Q189991
Gorky Park (band)	Q983830
Arshile Gorky	Q165648
Margaret Gorman	Q543638
R. C. Gorman	Q2123845
Edyta Górniak	Q236121
Enrique Gorriarán Merlo	Q2993039
Hedwig Gorski	Q3129340
Morya Gosavi	Q6915212
René Goscinny	Q192214
Józef Gosławski (sculptor)	Q26737
James Gosling	Q92622
Ryan Gosling	Q193815
Kermit Gosnell	Q6394062
Bartholomew Gosnold	Q809325
Philip Henry Gosse	Q443062
Hermann Heinrich Gossen	Q62835
Louis Gossett Jr.	Q329719
Jhulan Goswami	Q3526852
Rupa Goswami	Q2989506
Mahāprajāpatī Gautamī	Q613944
Frank Gotch	Q742936
Amon Göth	Q84152
Karel Gott	Q333187
Gottfried von Strassburg	Q326403
John Gotti	Q301646
Terry Gou	Q716830
Olympe de Gouges	Q206972
João Goulart	Q34982
Jay Gould	Q709595
La Goulue	Q258975
Charles Gounod	Q180278
Govinda (actor)	Q1992008
John Gower	Q365133
Yakubu Gowon	Q354695
Félix González-Torres	Q1288359
Carlo Gozzi	Q263270
Betty Grable	Q233852
Gaius Gracchus	Q297183
Tiberius Gracchus	Q212109
Hélio Gracie	Q455578
Royce Gracie	Q553469
Julien Gracq	Q298051
David Graeber	Q1174579
Albrecht von Graefe (ophthalmologist)	Q67987
Gillis Grafström	Q314679
Sue Grafton	Q234865
Katharine Graham	Q435203
Otto Graham	Q960594
Sylvester Graham	Q1350388
Gloria Grahame	Q59314
Kenneth Grahame	Q314897
Lucile Grahn	Q272482
Jean III de Grailly	Q934645
Kelsey Grammer	Q196560
Enrique Granados	Q294225
Federico Tinoco Granados	Q887715
Ariana Grande	Q151892
Temple Grandin	Q232810
Grandmaster Flash and the Furious Five	Q765409
Red Grange	Q1399654
Clive Granger	Q312575
Amy Grant	Q464213
Hugh Grant	Q163286
Lee Grant	Q230184
Norman Granz	Q1382555
Stéphane Grappelli	Q206244
Günter Grass	Q6538
Grateful Dead	Q212533
Ramón Grau	Q455365
Sammy Gravano	Q923645
Robert Graves	Q201732
Barry Gray (radio personality)	Q4864276
Eileen Gray	Q438129
Louis Harold Gray	Q551288
Robert Gray (sea captain)	Q777219
Stephen Gray (scientist)	Q315197
Thomas Gray	Q315516
Harry Greb	Q712859
Green Day	Q47871
Adolph Green	Q329849
Al Green	Q313260
Hetty Green	Q446490
John Green	Q630446
T. H. Green	Q369621
Peter Greenaway	Q55282
Clement Greenberg	Q434813
Joseph Greenberg	Q309997
Graham Greene	Q128560
Joe Greene	Q505256
Nathanael Greene	Q366113
Alan Greenspan	Q193635
Glenn Greenwald	Q5568842
Germaine Greer	Q103591
Pope Gregory II	Q103321
Pope Gregory IX	Q124831
Pope Gregory XIII	Q83029
Gregory of Narek	Q969758
Gregory of Tours	Q67841
Dick Gregory	Q1209674
James Gregory (mathematician)	Q313906
Carol W. Greider	Q26322
Robert Ritter von Greim	Q77139
George Grenville	Q244616
William Grenville, 1st Baron Grenville	Q312596
Irma Grese	Q63702
Tanni Grey-Thompson	Q336543
Charles Grey, 2nd Earl Grey	Q294662
George Grey	Q76821
Joel Grey	Q316641
Sasha Grey	Q2709
Zane Grey	Q146763
Alexander Griboyedov	Q15001
Paul Grice	Q311776
Edvard Grieg	Q80621
Ken Griffey Jr.	Q536900
Kathy Griffin	Q432437
Merv Griffin	Q598344
Walter Burley Griffin	Q559852
Andy Griffith	Q312252
Arthur Griffith	Q342765
Hugh Griffith	Q310934
Melanie Griffith	Q176455
Richard Griffiths	Q314831
Victor Grignard	Q104582
François Grimaldi	Q1943431
Joseph Grimaldi	Q375106
Jacob Grimm	Q6701
Wilhelm Grimm	Q6714
Alexander Grin	Q213997
John Grinder	Q201446
Maria Gripe	Q234373
Juan Gris	Q151152
John Grisham	Q106465
Carlotta Grisi	Q287812
Giulia Grisi	Q287344
Gus Grissom	Q110879
Rufus Wilmot Griswold	Q1990139
Grock	Q302873
Matt Groening	Q43994
Mikhael Gromov (mathematician)	Q353451
Andrei Gromyko	Q184267
Herbert Grönemeyer	Q275247
Boudewijn de Groot	Q576362
Antoine-Jean Gros	Q216999
David Gross	Q40262
